Date,Open,High,Low,Close,Volume,Ajd close
5/20/2024 16:00:00,189.35,191.92,189.01,191.04,44361275,191.04
5/21/2024 16:00:00,191.09,192.73,190.92,192.35,42309401,192.35
5/22/2024 16:00:00,192.27,192.82,190.27,190.9,34648547,190.9
5/23/2024 16:00:00,190.98,191,186.63,186.88,51005924,186.88
5/24/2024 16:00:00,188.82,190.58,188.04,189.98,36326975,189.98
5/28/2024 16:00:00,191.51,193,189.1,189.99,52280051,189.99
5/29/2024 16:00:00,189.61,192.25,189.51,190.29,53068016,190.29
5/30/2024 16:00:00,190.76,192.18,190.63,191.29,49947941,191.29
5/31/2024 16:00:00,191.44,192.57,189.91,192.25,75158277,192.25
6/3/2024 16:00:00,192.9,194.99,192.52,194.03,50080539,194.03
6/4/2024 16:00:00,194.64,195.32,193.03,194.35,47471445,194.35
6/5/2024 16:00:00,195.4,196.9,194.87,195.87,54156785,195.87
6/6/2024 16:00:00,195.69,196.5,194.17,194.48,41181753,194.48
6/7/2024 16:00:00,194.65,196.94,194.14,196.89,53103912,196.89
6/10/2024 16:00:00,196.9,197.3,192.15,193.12,97262077,193.12
6/11/2024 16:00:00,193.65,207.16,193.63,207.15,172373296,207.15
6/12/2024 16:00:00,207.37,220.2,206.9,213.07,198134293,213.07
6/13/2024 16:00:00,214.74,216.75,211.6,214.24,97862729,214.24
6/14/2024 16:00:00,213.85,215.17,211.3,212.49,70122748,212.49
6/17/2024 16:00:00,213.37,218.95,212.72,216.67,93728300,216.67
6/18/2024 16:00:00,217.59,218.63,213,214.29,79943254,214.29
